name,free_returns,items_sold,item_price,item_shipping,item_status
"HOPLITE Waterproof Heavy Duty Canvas Duffle Bag, Military Army Cargo - WHITEDUCK",True,,29993599,0,Brand New
Rare Nike PBZ278-001 Cordura Large Roller Luggage Travel Suitcase - Black 30”,True,,14999,6819,Pre-Owned
Women 36L Large Capacity Folding Waterproof Travel Bag Hangbags Tote Duffle Bag,True,,15951795,0,Brand New
Briggs & Riley Torq 2.0 Large Spinner Stealth Luggage Travel Hard Side Suitcase,False,,59995,0,Brand New
Herschel Novel Duffel Bag Black Tan Synthetic Leather Handles Volume 42.5L CLEAN,False,,5999,1595,Pre-Owned
Vera Bradley LARGE DUFFEL BAG Weekend Roses Butterfly Garden New with tags Blue,True,,6199,1125,Brand New
VINTAGE ZIPP-O-GRIP BROWN LEATHER HARDSIDED DUFFEL WEEKENDER LUGGAGE DOCTORS BAG,False,,12500,2500,Pre-Owned
Vintage LL Bean Large Canvas Duffle Bag Model OV232 Green,False,0,3999,2701,Pre-Owned
Patagonia Black Hole Duffel 55L Blue Large Luggage Travel Backpack Bag 49340,False,0,17000,0,Pre-Owned
MINI Cooper Black Duffle/Gym/Travel Overnight Bag - Large W/Strap,False,,4999,1542,Pre-Owned
"Wenger Large Travel Rolling Suitcase Luggage Case 27"" x 17""",False,0,4999,2000,Pre-Owned
"$380 Bric's  X-Travel 30"" Large Spinner Green Suitcase Soft-case Lightweight",True,,8999,0,Pre-Owned
36L Women Large Capacity Duffle Bag Travel Gym Tote Bag Carry On Handbag Luggage,True,,16891889,0,Brand New
2pcs Dustproof Clothes Garment Suit Dress Jacket Storage Bag Cover Travel Coat,False,77,699899,0,Brand New
Large Pink LL Bean Duffle Bag Water Resistant 155535 Monogramed NBM,False,,3500,1890,Pre-Owned
Vintage Filson 242 Rugged Twill Large Carry-On Bag Pullman NWT? Leather Canvas,False,,39999,1000,Brand New
3-in-1 Multifunctional Large Capacity Traveling Storage Suitcase Luggage Set Cha,False,,13828,0,Brand New
"Tumi Alpha 3 Large 30"" Split 2 Wheeled Duffel Bag 117163-1041 Black $995",False,,86499,5000,Brand New
Authentic LOUIS VUITTON Alize Monogram Suitcase Travel Bag Luggage #46455,True,0,43110,0,Pre-Owned
Extra Large Foldable Duffle Bag Travel Luggage Sports Gym Tote Men Women 96L NEW,False,0,1999,0,Brand New
Foldable Sports Duffel Bag 60L Large Lightweight Luggage for Travel Tactical USA,True,,21922699,0,New (Other)
Extra Large Duffle Bag Travel Luggage Sports Gym Tote Men Women 96L Waterproof,False,0,2091,500,Brand New
TravelPro FlightPro 2 Large Suitcase Luggage 28x22x10,False,,5977,8572,Pre-Owned
Tumi Large Split 2 wheeled duffel bag,False,,74900,18845,Brand New
Women Sports Gym Tote Duffle Bag Large Capacity Folding Waterproof Travel Bag,True,,15951795,0,Brand New
Foldable Portable Travel Luggage Baggage Storage Carry-On Duffle Bag Waterpoof,False,,799,0,Brand New
Michael Kors Rolling Travel Trolley Suitcase Carry On Bag  Black grey MK sig,False,,29800,4449,Brand New
"32 inch Large Duffel Bag With Wheels and Pull Handle Travel Bag, Black",False,0,4000,0,Brand New
New ListingVictoria's Secret Black Large Travel Duffle Bag,False,,3300,1020,Pre-Owned
"30"" Foldable Large New Men's Leather Duffel Luggage Travel Weekend Sport S Bag",True,,8514,0,New (Other)
SwissGear Sion Softside Expandable Luggage Dark Grey Checked-Large 29-Inch,True,,12250,2245,Brand New
